Date,Adj Close
2021-05-25,38770.992
2021-05-26,40276.117
2021-05-27,39308.613
2021-05-28,37089.324
2021-05-29,36021.01
2021-05-30,35539.066
2021-05-31,36480.938
2021-06-01,37241.844
2021-06-02,37743.008
2021-06-03,39127.94
2021-06-04,37595.14
2021-06-05,36818.9
2021-06-06,36416.44
2021-06-07,35415.9
2021-06-08,32769.18
2021-06-09,36245.75
2021-06-10,37622.66
2021-06-11,37417.49
2021-06-12,36230.715
2021-06-13,38155.664
2021-06-14,40682.984
2021-06-15,41061.58
2021-06-16,39713.535
2021-06-17,39082.723
2021-06-18,36868.26
2021-06-19,36109.344
2021-06-20,34979.633
2021-06-21,33465.906
2021-06-22,31573.732
2021-06-23,34053.855
2021-06-24,34277.645
2021-06-25,33516.31
2021-06-26,31695.746
2021-06-27,34140.19
2021-06-28,34956.117
2021-06-29,36200.81
2021-06-30,35289.906
2021-07-01,34066.094
2021-07-02,33706.3
2021-07-03,34605.13
2021-07-04,35724.816
2021-07-05,34295.09
2021-07-06,34880.617
2021-07-07,34839.17
2021-07-08,33063.08
2021-07-09,33613.832
2021-07-10,33922.29
2021-07-11,34427.098
2021-07-12,33778.125
2021-07-13,32922.777
2021-07-14,32458.06
2021-07-15,32179.611
2021-07-16,31797.104
2021-07-17,31803.838
2021-07-18,32088.18
2021-07-19,31183.71
2021-07-20,30072.264
2021-07-21,31872.428
2021-07-22,32368.842
2021-07-23,33264.17
2021-07-24,34392.312
2021-07-25,35084.31
2021-07-26,39309.617
2021-07-27,38670.414
2021-07-28,40493.574
2021-07-29,40470.457
2021-07-30,40942.094
2021-07-31,42020.016
2021-08-01,41446.21
2021-08-02,40004.023
2021-08-03,39164.695
2021-08-04,39430.72
2021-08-05,39890.227
2021-08-06,42308.56
2021-08-07,44269.43
2021-08-08,44650.133
2021-08-09,45223.27
2021-08-10,45885.344
2021-08-11,46451.48
2021-08-12,45300.05
2021-08-13,46696.176
2021-08-14,47301.492
2021-08-15,46654.64
2021-08-16,47113.938
2021-08-17,46135.703
2021-08-18,45608.62
2021-08-19,45981.27
2021-08-20,48510.035
2021-08-21,49223.133
2021-08-22,49145.2
2021-08-23,50174.11
2021-08-24,48911.71
2021-08-25,48549.043
2021-08-26,47941.066
2021-08-27,48193.53
2021-08-28,49161.934
2021-08-29,49072.207
2021-08-30,48049.176
2021-08-31,47836.54
2021-09-01,48246.188
2021-09-02,49903.426
2021-09-03,50027.625
2021-09-04,50360.004
2021-09-05,51211.242
2021-09-06,52304.766
2021-09-07,47461.727
