Open,High,Low,Close,Adj Close,Volume
308.644989,329.4519958,307.0559998,320.8840027,320.8840027,893249984
320.67099,324.7179871,294.5419922,299.2529907,299.2529907,885985984
298.5859985,319.4530029,298.1919861,314.6809998,314.6809998,842300992
314.6900024,319.1530151,298.5130005,307.9079895,307.9079895,1613479936
307.0249939,328.4150085,307.0249939,316.7160034,316.7160034,1041889984
316.7630005,340.177002,316.7630005,337.631012,337.631012,1069680000
337.9639893,340.9119873,329.8129883,333.3569946,333.3569946,722665984
333.4429932,336.1589966,323.6059875,330.9240112,330.9240112,797254016
330.1669922,334.9639893,327.5230103,332.3940125,332.3940125,621732992
331.980011,349.6159973,327.6870117,347.6119995,347.6119995,649638976
347.401001,371.2909851,344.7399902,354.3859863,354.3859863,1181529984
354.0939941,372.1369934,353.2890015,366.730011,366.730011,807027008
367.4429932,372.4700012,350.6929932,360.401001,360.401001,949912000
360.3120117,381.4200134,360.1470032,380.6520081,380.6520081,800819008
381.4389954,425.5480042,376.0880127,410.1659851,410.1659851,1845680000
412.5010071,480.9729919,402.7579956,474.9110107,474.9110107,2292829952
475.6759949,485.1919861,461.053009,466.276001,466.276001,1422080000
465.973999,472.7229919,451.6059875,471.3299866,471.3299866,1197779968
471.5310059,493.4049988,468.4849854,480.355011,480.355011,1396480000
480.5180054,482.480011,466.3469849,472.9020081,472.9020081,1346499968
473.2810059,522.3070068,425.0710144,427.5230103,427.5230103,2675940096
431.2149963,465.4970093,401.2430115,447.1140137,447.1140137,1903040000
445.2090149,472.6090088,428.3120117,466.5400085,466.5400085,1247879936
466.8510132,476.2390137,456.6530151,463.4490051,463.4490051,943649984
463.7049866,482.8139954,451.8519897,465.8529968,465.8529968,990556992
466.0539856,474.7770081,453.3120117,470.20401,470.20401,1005550016
470.2940063,473.5580139,457.6600037,463.2810059,463.2810059,1216720000
462.6040039,462.7080078,420.2099915,428.5880127,428.5880127,1998259968
426.368988,441.3970032,414.4110107,434.4079895,434.4079895,2129570048
434.9890137,466.0620117,422.3670044,456.0310059,456.0310059,2336379904
457.3439941,504.1470032,456.2529907,473.5020142,473.5020142,2003849984
472.7890015,472.7890015,429.5140076,441.7210083,441.7210083,1404179968
440.3580017,516.9689941,439.1040039,515.1359863,515.1359863,1771440000
522.2860107,657.3179932,504.493988,651.4310303,651.4310303,5179829760
644.9060059,747.992981,597.7979736,702.7670288,702.7670288,4524539904
700.5939941,753.1209717,664.9890137,695.815979,695.815979,3821580032
696.3759766,697.132019,621.0609741,684.447998,684.447998,2758710016
686.1920166,718.3850098,680.7860107,696.2089844,696.2089844,2165690112
696.2369995,735.8250122,696.2369995,719.9749756,719.9749756,2147389952
721.7319946,803.9279785,689.2310181,794.6450195,794.6450195,3249230080
793.901001,881.9439697,785.34198,826.822998,826.822998,4096549888
827.5159912,845.0620117,756.0040283,819.0859985,819.0859985,3969939968
820.2360229,880.5430298,792.6890259,821.0629883,821.0629883,3569060096
822.6430054,827.6829834,543.7620239,674.8599854,674.8599854,4977710080
681.315979,763.8950195,679.7310181,719.3870239,719.3870239,2480339968
721.7689819,721.7689819,614.9219971,694.1480103,694.1480103,2300549888
698.8699951,782.5209961,698.8699951,765.8339844,765.8339844,2491760128
763.3699951,786.789978,760.9349976,773.8359985,773.8359985,2201159936
774.9699707,789.2529907,738.4130249,762.84198,762.84198,2100029952
762.2080078,763.3189697,701.1870117,737.0230103,737.0230103,2389149952
740.3889771,770.1170044,729.6079712,753.59198,753.59198,2648969984
753.8150024,753.8150024,685.2310181,717.257019,717.257019,3187780096
712.2119751,760.3480225,710.1190186,756.7329712,756.7329712,2554269952
