Date,Open,High,Low,Adj Close,Volume,RSI,EMA_short,EMA_long
2018-02-16,934.7860107421875,950.0050048828125,917.8480224609375,944.2100219726562,2369449984,50.67357604480648,918.2688252931464,763.0849609375
2018-02-17,944.7479858398438,976.594970703125,940.7540283203125,974.114990234375,2525720064,52.428325955295,923.5875076685015,767.2637733988242
2018-02-18,973.3489990234375,982.9329833984375,915.4450073242188,923.9210205078125,2567290112,49.27592258045905,923.6192707960549,770.3658971039528
2018-02-19,921.6680297851562,957.7769775390625,921.5540161132812,943.864990234375,2169019904,50.541929977745404,925.5474345520854,773.8015227104958
2018-02-20,943.5670166015625,965.2650146484375,892.9539794921875,895.3709716796875,2545260032,47.45622056172051,922.6734857070951,776.2088385316679
2018-02-21,894.135009765625,912.375,830.56298828125,849.9710083007812,2531729920,44.71771659184328,915.7494402398271,777.6694755567988
2018-02-22,849.2620239257812,875.926025390625,802.6680297851562,812.844970703125,2150370048,42.56560230270413,905.949014569665,778.3660200151419
2018-02-23,811.5850219726562,886.3179931640625,794.791015625,864.1890258789062,2334820096,46.38871186213451,901.9718727895927,780.0654854777907
2018-02-24,861.593017578125,879.531005859375,818.5499877929688,840.5150146484375,1926579968,44.91181494216634,896.1188386809113,781.2625058574075
2018-02-25,839.458984375,853.14599609375,822.3809814453125,844.8099975585938,1646960000,45.250635511840635,891.2322823835477,782.5208720297082
2018-02-26,845.2780151367188,880.3920288085938,842.3189697265625,869.3150024414062,2044480000,47.234526129121214,889.144922389058,784.2395676814251
2018-02-27,870.364990234375,896.2589721679688,867.0969848632812,878.2650146484375,2053980032,47.972269943703715,888.1087406994751,786.1014577203758
2018-02-28,877.9340209960938,890.1079711914062,855.1240234375,855.198974609375,1963980032,46.18904016112477,884.9744772623227,787.4697253815441
2018-03-01,856.0120239257812,880.302001953125,851.9199829101562,872.2000122070312,1868519936,47.72361542660442,883.7578615427711,789.1475528434349
2018-03-02,871.7639770507812,876.3779907226562,852.4219970703125,856.85302734375,1894419968,46.442627324743114,881.1954963809596,790.4882553087876
2018-03-03,856.7109985351562,868.4539794921875,855.2069702148438,857.2249755859375,1699369984,46.47993095456572,878.9125896385766,791.8097745221966
2018-03-04,856.1859741210938,867.9500122070312,840.280029296875,866.677978515625,1697939968,47.4761140859167,877.7473885792479,793.2923132151357
2018-03-05,866.8460083007812,869.9199829101562,853.52001953125,853.6840209960938,1898489984,46.209374104873476,875.4556392856141,794.4881886167387
2018-03-06,853.8170166015625,853.8170166015625,809.9310302734375,816.9509887695312,1943069952,42.754202045302684,869.8837678078919,794.9329965405564
2018-03-07,816.27099609375,825.6069946289062,726.5469970703125,752.8309936523438,2175419904,37.50886457182764,858.7358845549825,794.099293513067
2018-03-08,752.5700073242188,773.7670288085938,696.1690063476562,704.5960083007812,1891640064,34.133594360524434,844.0558963402966,792.3269512316356
2018-03-09,702.197021484375,729.156005859375,648.1069946289062,728.916015625,2233019904,37.18702973762186,833.0901934150303,791.071289140415
2018-03-10,730.1599731445312,748.031005859375,682.6950073242188,686.8900146484375,1532960000,34.24754130829065,819.1663668658309,789.0082936059205
2018-03-11,685.31201171875,735.8309936523438,668.1229858398438,723.3389892578125,1562680064,38.7467860448042,810.0399499507815,787.7079113416015
2018-03-12,724.406005859375,742.5139770507812,683.2680053710938,699.8309936523438,1764999936,36.99737432040793,799.54385887474,785.9677743576558
2018-03-13,698.1530151367188,713.7349853515625,682.3499755859375,690.8270263671875,1425959936,36.32434243423459,789.1898748264017,784.0837991499237
2018-03-14,691.218994140625,702.7839965820312,594.0999755859375,614.291015625,1810560000,31.16160853378116,772.5328406167444,780.7215658127965
2018-03-15,614.8389892578125,620.6160278320312,579.5050048828125,611.3040161132812,1770460032,30.97750548712917,757.1777144735574,777.3667628484496
2018-03-16,611.7780151367188,623.1680297851562,587.8619995117188,601.666015625,1417350016,30.357462792192027,742.3670764879805,773.8875401311536
2018-03-17,601.677978515625,609.1510009765625,549.0960083007812,552.7789916992188,1267810048,27.379182866920367,724.3110684128603,769.5091530334915
2018-03-18,551.6400146484375,551.6400146484375,460.0880126953125,538.6439819335938,2685499904,26.571606517144794,706.6284887481683,764.9375654869589
2018-03-19,546.6259765625,558.0999755859375,519.1229858398438,556.7260131835938,2046790016,29.42478945286171,692.352062503923,760.8145644512487
