Open,High,Low,Volume,Close
308.644989,329.4519958,307.0559998,893249984,320.8840027
320.67099,324.7179871,294.5419922,885985984,299.2529907
298.5859985,319.4530029,298.1919861,842300992,314.6809998
314.6900024,319.1530151,298.5130005,1613479936,307.9079895
307.0249939,328.4150085,307.0249939,1041889984,316.7160034
316.7630005,340.177002,316.7630005,1069680000,337.631012
337.9639893,340.9119873,329.8129883,722665984,333.3569946
333.4429932,336.1589966,323.6059875,797254016,330.9240112
330.1669922,334.9639893,327.5230103,621732992,332.3940125
331.980011,349.6159973,327.6870117,649638976,347.6119995
347.401001,371.2909851,344.7399902,1181529984,354.3859863
354.0939941,372.1369934,353.2890015,807027008,366.730011
367.4429932,372.4700012,350.6929932,949912000,360.401001
360.3120117,381.4200134,360.1470032,800819008,380.6520081
381.4389954,425.5480042,376.0880127,1845680000,410.1659851
412.5010071,480.9729919,402.7579956,2292829952,474.9110107
475.6759949,485.1919861,461.053009,1422080000,466.276001
465.973999,472.7229919,451.6059875,1197779968,471.3299866
471.5310059,493.4049988,468.4849854,1396480000,480.355011
480.5180054,482.480011,466.3469849,1346499968,472.9020081
473.2810059,522.3070068,425.0710144,2675940096,427.5230103
431.2149963,465.4970093,401.2430115,1903040000,447.1140137
445.2090149,472.6090088,428.3120117,1247879936,466.5400085
466.8510132,476.2390137,456.6530151,943649984,463.4490051
463.7049866,482.8139954,451.8519897,990556992,465.8529968
466.0539856,474.7770081,453.3120117,1005550016,470.20401
470.2940063,473.5580139,457.6600037,1216720000,463.2810059
462.6040039,462.7080078,420.2099915,1998259968,428.5880127
426.368988,441.3970032,414.4110107,2129570048,434.4079895
434.9890137,466.0620117,422.3670044,2336379904,456.0310059
457.3439941,504.1470032,456.2529907,2003849984,473.5020142
472.7890015,472.7890015,429.5140076,1404179968,441.7210083
440.3580017,516.9689941,439.1040039,1771440000,515.1359863
522.2860107,657.3179932,504.493988,5179829760,651.4310303
644.9060059,747.992981,597.7979736,4524539904,702.7670288
700.5939941,753.1209717,664.9890137,3821580032,695.815979
696.3759766,697.132019,621.0609741,2758710016,684.447998
686.1920166,718.3850098,680.7860107,2165690112,696.2089844
696.2369995,735.8250122,696.2369995,2147389952,719.9749756
721.7319946,803.9279785,689.2310181,3249230080,794.6450195
793.901001,881.9439697,785.34198,4096549888,826.822998
827.5159912,845.0620117,756.0040283,3969939968,819.0859985
820.2360229,880.5430298,792.6890259,3569060096,821.0629883
822.6430054,827.6829834,543.7620239,4977710080,674.8599854
681.315979,763.8950195,679.7310181,2480339968,719.3870239
721.7689819,721.7689819,614.9219971,2300549888,694.1480103
698.8699951,782.5209961,698.8699951,2491760128,765.8339844
763.3699951,786.789978,760.9349976,2201159936,773.8359985
774.9699707,789.2529907,738.4130249,2100029952,762.84198
762.2080078,763.3189697,701.1870117,2389149952,737.0230103
740.3889771,770.1170044,729.6079712,2648969984,753.59198
753.8150024,753.8150024,685.2310181,3187780096,717.257019
712.2119751,760.3480225,710.1190186,2554269952,756.7329712
755.757019,782.5300293,742.0040283,2595760128,772.6409912
772.3460083,914.8300171,772.3460083,5783349760,884.4439697
886,974.4710083,868.4509888,5093159936,962.7199707
961.7130127,1045.079956,946.0859985,6502859776,980.9219971
