Date,Open,High,Low,Adj Close,Volume,RSI,EMA_short,EMA_long
4/9/2015,244.7510071,246.1179962,239.3999939,243.6759949,21643500,41.70266105,253.7155826,251.9532805
4/10/2015,243.6940002,243.6940002,232.7709961,236.0720062,28882000,37.6491411,252.035242,251.6387998
4/11/2015,236.0160065,239.5370026,234.1750031,236.552002,16365200,38.05635672,250.5606477,251.3400513
4/12/2015,236.5350037,237.7279968,233.4949951,236.1529999,12387900,37.83627128,249.1884907,251.0393176
4/13/2015,235.9499969,236.9349976,221.9960022,224.5870056,31181800,32.07518561,246.8454922,250.5155095
4/14/2015,224.7590027,224.9759979,216.322998,219.1589966,31719000,29.79407316,244.208683,249.8945884
4/15/2015,219.072998,223.8329926,218.6490021,223.8329926,22562000,34.11685048,242.2681411,249.3785172
4/16/2015,223.9170074,229.6719971,223.9170074,228.572998,24805400,38.2482045,240.9638418,248.9665268
4/17/2015,228.5749969,228.9060059,221.9420013,222.8820038,20429800,35.39317799,239.241762,248.4500015
4/18/2015,222.8529968,224.3159943,220.8760071,223.3560028,12939000,35.82068837,237.7288325,247.9530907
4/19/2015,223.4559937,226.3529968,222.3730011,222.6000061,15021500,35.42016802,236.2879919,247.4510494
4/20/2015,222.6119995,226.3509979,221.977005,224.6260071,18364700,37.42901396,235.1773267,246.9990684
4/21/2015,224.6199951,235.2689972,224.3009949,235.2689972,24978000,46.75172994,235.1860572,246.7667897
4/22/2015,235.602005,237.9089966,233.4759979,234.1759949,23847900,45.99763572,235.0898608,246.5174671
4/23/2015,234.0529938,236.4750061,233.1990051,236.4620056,17036000,47.88146077,235.2205413,246.318349
4/24/2015,235.9700012,236.3049927,229.9329987,231.2680054,21448700,44.13359505,234.8441093,246.0203224
4/25/2015,231.2350006,232.5610046,226.3370056,226.3899994,13957200,40.91131243,234.0389559,245.6316031
4/26/2015,226.4100037,226.9440002,214.8739929,219.4299927,28943700,36.80347113,232.6476261,245.1127594
4/27/2015,219.4290009,233.3049927,218.022995,229.2859955,38574000,45.15826626,232.3274708,244.7993581
4/28/2015,228.9689941,229.4949951,223.0690002,225.8549957,21469200,43.03619698,231.7110446,244.4242222
4/29/2015,225.5910034,227.0399933,223.4299927,225.8079987,18936500,43.00653705,231.1488498,244.0555841
4/30/2015,225.6929932,239.5630035,224.9929962,236.1450043,33818600,50.969737,231.624674,243.898939
